ANO,NÚMERO DA REGIONAL,REGIONAL,CÓDIGO INEP,ESCOLA,QUANTIDADE DE ESTUDANTES,LOGRADOURO,NÚMERO,BAIRRO,MUNICÍPIO,ESTADO,ENDEREÇO,LATITUDE,LONGITUDE,CIÊNCIAS HUMANAS,LINGUAGENS E CÓDIGOS,CIÊNCIAS DA NATUREZA,MATEMÁTICA,REDAÇÃO,MÉDIA GERAL,COMPETÊNCIA 1,COMPETÊNCIA 2,COMPETÊNCIA 3,COMPETÊNCIA 4,COMPETÊNCIA 5
2024,2,SRE METROPOLITANA A,31000086,EE PROFESSOR JOSE MESQUITA DE CARVALHO,59,RUA IRAI,154,VILA PARIS,BELO HORIZONTE,MG,"RUA IRAI, 154, VILA PARIS, BELO HORIZONTE, MG","-19,9481553","-43,9496309","486,12","502,32","459,15","496,88",604,"509,69","112,8","145,6",112,124,"109,6"
2024,1,SRE METROPOLITANA B,31000124,EE DOUTOR SIMAO TAMM BIAS FORTES,27,RUA MARIA BEATRIZ,1200,HAVAI,BELO HORIZONTE,MG,"RUA MARIA BEATRIZ, 1200, HAVAI, BELO HORIZONTE, MG","-19,9581883","-43,9757683","518,03","526,83","478,4","516,51","622,61","532,48","123,48","141,74","119,13","127,83","110,43"
2024,1,SRE METROPOLITANA B,31000132,EE GUIMARAES ROSA,25,RUA AVELAR,10,PINDORAMA,BELO HORIZONTE,MG,"RUA AVELAR, 10, PINDORAMA, BELO HORIZONTE, MG","-19,9113213","-44,0245274","496,18","516,99","461,5","476,54","536,47","497,54","105,88","136,47","104,71","107,06","82,35"
2024,1,SRE METROPOLITANA B,31000159,EE MANUEL CASASANTA,106,RUA GUILHERMINO ESTEVAO NASCIMENTO,150,PALMEIRAS,BELO HORIZONTE,MG,"RUA GUILHERMINO ESTEVAO NASCIMENTO, 150, PALMEIRAS, BELO HORIZONTE, MG","-19,9645777","-43,9794393","519,92","530,25","483,86","512,83","625,17","534,41","120,22","147,42","117,3","122,02","118,2"
2024,2,SRE METROPOLITANA A,31000175,EE MARIA DE LOURDES DE OLIVEIRA,97,RUA JOSE ISIDORO DE MIRANDA,140,MARIA GORETTI,BELO HORIZONTE,MG,"RUA JOSE ISIDORO DE MIRANDA, 140, MARIA GORETTI, BELO HORIZONTE, MG","-19,8630129","-43,9098825","474,03","504,73","461,96","479,08","592,77","502,51","118,07","138,55","111,57","124,82","99,76"
2024,1,SRE METROPOLITANA B,31000191,EE CAIO NELSON DE SENA,67,RUA ENGENHO DE DENTRO,887,CAICARAS,BELO HORIZONTE,MG,"RUA ENGENHO DE DENTRO, 887, CAICARAS, BELO HORIZONTE, MG","-19,9015265","-43,9712232","515,78","529,47",497,"523,23","615,36","536,17","122,5","142,5",115,"124,64","110,71"
2024,41,SRE METROPOLITANA C,31000205,EE PROFESSORA FRANCISCA MALHEIROS,24,RUA RONALD DE CARVALHO,276,TUPI,BELO HORIZONTE,MG,"RUA RONALD DE CARVALHO, 276, TUPI, BELO HORIZONTE, MG","-19,8400409","-43,9158357","469,66","498,31","452,95","463,63","622,35","501,38","118,82","141,18","116,47","134,12","111,76"
2024,2,SRE METROPOLITANA A,31000248,EE SANTO AFONSO,47,AVENIDA BERNARDO VASCONCELOS,1334,RENASCENCA,BELO HORIZONTE,MG,"AVENIDA BERNARDO VASCONCELOS, 1334, RENASCENCA, BELO HORIZONTE, MG","-19,88331","-43,93926","496,27","512,15","461,13","492,57","612,86",515,"121,9","144,76","113,33","126,67","106,19"
2024,1,SRE METROPOLITANA B,31000256,EE JOSE MIGUEL DO NASCIMENTO,10,RUA MARIA BEATRIZ,90,NOVO INDUSTRIAS,BELO HORIZONTE,MG,"RUA MARIA BEATRIZ, 90, NOVO INDUSTRIAS, BELO HORIZONTE, MG","-19,975615","-43,9954045","441,57","450,83","415,2","430,83","606,67","469,02","113,33","153,33","106,67","113,33",120
2024,2,SRE METROPOLITANA A,31000302,EE PRESIDENTE DUTRA,107,RUA SETE,S/N,HORTO,BELO HORIZONTE,MG,"RUA SETE, S/N, HORTO, BELO HORIZONTE, MG","-19,8865659","-43,9146871","500,03","521,34","473,05","480,21","622,29","519,38","120,83","143,54","116,04","124,17","117,71"
2024,1,SRE METROPOLITANA B,31000311,EE MARGARIDA BROCHADO,37,RUA BARAO DE COROMANDEL,426,BARREIRO DE BAIXO,BELO HORIZONTE,MG,"RUA BARAO DE COROMANDEL, 426, BARREIRO DE BAIXO, BELO HORIZONTE, MG","-19,9749786","-44,0171068","513,13","537,96","477,69","506,18","666,88","540,37","126,88","157,5","126,25","133,13","123,13"
2024,41,SRE METROPOLITANA C,31000353,EE PROFESSOR HILTON ROCHA,29,AVENIDA CRISTIANO MACHADO,8200,PRIMEIRO DE MAIO,BELO HORIZONTE,MG,"AVENIDA CRISTIANO MACHADO, 8200, PRIMEIRO DE MAIO, BELO HORIZONTE, MG","-19,8591053","-43,9330273","496,18","517,92","472,43","487,56","591,85","513,19","120,74","150,37","116,3","116,3","88,15"
